id,code,name,bassein,region,longitude,latitude,danger_level,level_mean,water_temp,date
127,11002,Р. Ертис– с. Баженово,Иртыш,Абайская область,80.99694444,50.38944444,no_data,299,18.6,2026-06-25 00:00:00
177,11005,р.Ертис - с.Уварово,Иртыш,Восточно-Казахстанская область,82.39444444,50.06305556,no_data,224.5,12.6,2026-06-25 00:00:00
130,11019,Р. Ертис – с. Абылайкит,Иртыш,Восточно-Казахстанская область,82.69777778,49.89083333,low,217.5,1.3,2026-06-25 00:00:00
128,11025,Р. Ертис – г. Семей,Иртыш,Абайская область,80.26305556,50.37916667,low,138,18.6,2026-06-25 00:00:00
129,11027,Р. Ертис – с. Семиярка,Иртыш,Абайская область,78.31222222,50.88611111,low,69,2.2,2026-06-25 00:00:00
283,11037,Р. Ертис – г. Павлодар (затон),Иртыш,Павлодарская область,76.93583333,52.27166667,no_data,348,25.8,2026-06-25 00:00:00
285,11040,Р. Ертис – а. Ертис,Иртыш,Павлодарская область,75.47166667,53.32861111,no_data,65.5,26.4,2026-06-25 00:00:00
144,11063,Р. БасТеректы – с. Мойылды (Николаевка),Иртыш,Восточно-Казахстанская область,85.83861111,48.43444444,no_data,90,0,2026-06-25 00:00:00
131,11068,Р. Калжыр – с. Калжыр (а. Алтай),Иртыш,Восточно-Казахстанская область,85.19666667,48.13305556,no_data,332,1.8,2026-06-25 00:00:00
164,11077,Р. Кандысу – село Сарыолен,Иртыш,Восточно-Казахстанская область,84.10666667,47.28333333,no_data,58,1.5,2026-06-25 00:00:00
170,11087,Р.Каргыбы (Карабуга) – с.Есим,Иртыш,Абайская область,82.83777778,47.73805556,no_data,0,0,2026-06-25 00:00:00
168,11089,Р.Бугаз - с.Кызыл-Кесик,Иртыш,Абайская область,82.01,47.87861111,no_data,224,1.6,2026-06-25 00:00:00
140,11094,Р. Улкен Бокен – с. Джумба,Иртыш,Восточно-Казахстанская область,82.78805556,49.00972222,no_data,205.5,1.8,2026-06-25 00:00:00
132,11108,Р. Куршим – с. Вознесенка,Иртыш,Восточно-Казахстанская область,83.86916667,48.60611111,low,184,2,2026-06-25 00:00:00
174,11110,Р.Куршим-с.Маралды,Иртыш,Восточно-Казахстанская область,84.6675,48.75611111,no_data,223.5,1.3,2026-06-25 00:00:00
181,11113,р.Кайынды - с.Миролюбовка,Иртыш,Восточно-Казахстанская область,83.55277778,49.02638889,no_data,88,16.8,2026-06-25 00:00:00
133,11117,Р. Нарын– с.Улкен Нарын,Иртыш,Восточно-Казахстанская область,84.51777778,49.20666667,no_data,142.5,14.6,2026-06-25 00:00:00
171,11118,Р.Нарын – с.Юбилейное,Иртыш,Восточно-Казахстанская область,84.65833333,49.20944444,no_data,276,1.6,2026-06-25 00:00:00
180,11123,р.Березовка - с.Соловьево,Иртыш,Восточно-Казахстанская область,84.35111111,49.62388889,no_data,71,16,2026-06-25 00:00:00
153,11124,Р.Буктырма – с. Берель,Иртыш,Восточно-Казахстанская область,86.44833333,49.36583333,low,112,8.6,2026-06-25 00:00:00
134,11126,Р. Буктырма – с.Барлык (с. Печи),Иртыш,Восточно-Казахстанская область,85.17111111,49.33166667,low,93.5,1.4,2026-06-25 00:00:00
135,11129,Р. Буктырма – с. Лесная пристань,Иртыш,Восточно-Казахстанская область,84.32944444,49.82972222,low,299.5,17.5,2026-06-25 00:00:00
165,11130,Р.Акберель – с.Берель,Иртыш,Восточно-Казахстанская область,86.42638889,49.37583333,no_data,334,8.6,2026-06-25 00:00:00
166,11131,Р.Черновая – с.Черновое,Иртыш,Восточно-Казахстанская область,85.88611111,49.22694444,no_data,449,1.2,2026-06-25 00:00:00
176,11136,р.Урыль - с.Урыль,Иртыш,Восточно-Казахстанская область,86.33388889,49.24777778,no_data,145,7.8,2026-06-25 00:00:00
154,11143,Р. Аксу-с.Аксу (Р.Белая – с. Белое),Иртыш,Восточно-Казахстанская область,85.41,49.37833333,no_data,68.5,1.5,2026-06-25 00:00:00
136,11146,Р. Лев. Березовка – с. Средигорное,Иртыш,Восточно-Казахстанская область,84.39194444,49.51111111,low,68,15.6,2026-06-25 00:00:00
137,11147,Р. Тургысын – с. Кутиха,Иртыш,Восточно-Казахстанская область,84.07722222,49.89138889,no_data,62,1.6,2026-06-25 00:00:00
173,11148,Р.Сарымсакты - с.Катон-Карагай,Иртыш,Восточно-Казахстанская область,85.58777778,49.17277778,no_data,321.5,1.1,2026-06-25 00:00:00
178,11151,р.Хамир - с.Малеевск,Иртыш,Восточно-Казахстанская область,84.33027778,49.83583333,no_data,97.5,14.1,2026-06-25 00:00:00
179,11155,р.Тайынты - с.Асубулак,Иртыш,Восточно-Казахстанская область,83.01583333,49.54166667,no_data,234,1.6,2026-06-25 00:00:00
182,11159,р.Смолянка - с.Северное,Иртыш,Восточно-Казахстанская область,83.13166667,49.81361111,no_data,52.5,19.4,2026-06-25 00:00:00
151,11160,Р. Сибе – с. Алгабас,Иртыш,Восточно-Казахстанская область,82.56083333,49.39388889,no_data,104,1.5,2026-06-25 00:00:00
163,11163,река Ульби – город Риддер,Иртыш,Восточно-Казахстанская область,83.37777778,50.27666667,no_data,343.5,14,2026-06-25 00:00:00
138,11164,Р. Ульби – с. Каменный карьер (с. Ульби Перевалочн,Иртыш,Восточно-Казахстанская область,82.84166667,50.01055556,low,39,20.2,2026-06-25 00:00:00
143,11170,Р. Глубочанка - с.Белокаменка,Иртыш,Восточно-Казахстанская область,82.58,50.19027778,low,200.5,15.2,2026-06-25 00:00:00
175,11173,Р.Шаровка-с.Шаровка,Иртыш,Восточно-Казахстанская область,83.45111111,50.35027778,no_data,108,1.5,2026-06-25 00:00:00
155,11187,Р.Дресвянка – с. Отрадное,Иртыш,Восточно-Казахстанская область,82.26194444,49.98527778,no_data,9,19.4,2026-06-25 00:00:00
159,11188,Р. Красноярка – с. Предгорное,Иртыш,Восточно-Казахстанская область,82.24416667,50.24722222,low,183,17.8,2026-06-25 00:00:00
160,11189,Р. Ульби – с. Горная Ульбинка (р. Таловка - с. Рас,Иртыш,Восточно-Казахстанская область,82.91527778,49.98888889,low,109,19.5,2026-06-25 00:00:00
169,11199,Р.Оба – с.Каракожа,Иртыш,Восточно-Казахстанская область,83.03777778,50.76861111,no_data,122.5,1.9,2026-06-25 00:00:00
156,11203,Р. Оба – с.Верхоба (Каракожа),Иртыш,Восточно-Казахстанская область,82.41472222,50.4875,low,142,19.5,2026-06-25 00:00:00
139,11207,Р. Оба – с. Шемонаиха,Иртыш,Восточно-Казахстанская область,81.87666667,50.61277778,low,50.5,22,2026-06-25 00:00:00
185,11213,р.Кызылсу - с.Шалабай,Иртыш,Абайская область,81.50638889,49.69944444,no_data,143,2,2026-06-25 00:00:00
183,11218,р.Шар - г.Чарск,Иртыш,Абайская область,81.05361111,49.57944444,no_data,180,1.8,2026-06-25 00:00:00
172,11220,Р.Малая Убинка - с. Быструха,Иртыш,Восточно-Казахстанская область,82.72416667,50.38333333,no_data,354,19.3,2026-06-25 00:00:00
167,11221,р.Жартас - с.Гагарино,Иртыш,Восточно-Казахстанская область,81.8625,50.16194444,no_data,138,2.2,2026-06-25 00:00:00
157,11233,Р. Шар – аул Кентарлау (Николаевка),Иртыш,Абайская область,81.96972222,49.16333333,low,261.5,18.4,2026-06-25 00:00:00
87,11242,р. Селеты - с. Новомарковка,Есиль,Акмолинская область,72.305,51.73694444,low,412,24,2026-06-25 00:00:00
89,11253,р. Селеты - выше Селетинского водохранилища (Бесто,Есиль,Акмолинская область,72.68555556,52.00055556,low,914,24.6,2026-06-25 00:00:00
93,11262,р. Боксук - с. Журавлевка,Есиль,Акмолинская область,69.97722222,51.95666667,low,406,23.2,2026-06-25 00:00:00
82,11272,р. Силеты – с. Приречное,Есиль,Акмолинская область,71.93777778,51.53722222,low,152,23.2,2026-06-25 00:00:00
83,11275,р. Силеты – с. Изобильное,Есиль,Акмолинская область,73.285,52.49444444,low,265,20,2026-06-25 00:00:00
301,11282,р. Камысакты - с. Ясновка,Есиль,Северо-Казахстанская область,68.23027778,53.98472222,low,497,24.3,2026-06-25 00:00:00
84,11291,р. Шагалалы – с. Павловка,Есиль,Акмолинская область,69.01222222,53.09944444,low,-23,20.6,2026-06-25 00:00:00
298,11293,р. Шагалалы – с. Северное,Есиль,Северо-Казахстанская область,69.6325,53.69916667,low,89,22.4,2026-06-25 00:00:00
230,11395,Р.Есиль – с.Приишимское,Есиль,Карагандинская область,73.02666667,50.62,low,136,0,2026-06-25 00:00:00
63,11397,Р. Есиль– с. Турген (с. Тургеневка),Есиль,Акмолинская область,72.33944444,50.75333333,low,152,24.2,2026-06-25 00:00:00
65,11398,Р. Есиль– г. Астана,Есиль,Акмолинская область,71.41416667,51.15777778,unfavorable,686,24.8,2026-06-25 00:00:00
78,11402,р.Есиль – г.Державинск (с. Калачи),Есиль,Акмолинская область,66.31916667,51.09222222,no_data,235,,2024-12-31 00:00:00
